#<time_stamp>;<sys_call>;<arguments;>
1400712895.12;read;4;0;0;1
1400712895.22;open;6;0;0;0;2
1400712895.33;close;6;2
1400712895.44;write;4;59512;12;1
1400712895.55;write;3;67584;1024;0
1400712895.71;write;3;68608;1024;0
1400712895.82;write;3;69632;1024;0
1400712895.94;close;4;1
1400712896.08;read;3;2516;16;0
1400712896.24;open;4;0;0;0;1
1400712896.37;write;4;59524;512;1
1400712896.62;write;4;60036;4;1
1400712896.72;write;4;60040;1024;1
1400712896.82;write;4;61064;4;1
1400712896.92;write;4;61068;4;1
1400712897.02;write;4;61072;1024;1
1400712897.12;write;4;62096;4;1
1400712897.22;read;4;0;0;1
1400712897.37;open;6;0;0;0;2
1400712897.47;close;6;2
1400712897.57;write;4;62100;12;1
1400712897.67;write;3;70656;1024;0
1400712897.81;write;3;71680;1024;0
1400712897.92;write;3;72704;1024;0
1400712898.02;close;4;1
1400712898.12;read;3;2532;16;0
1400712898.22;open;4;0;0;0;1
1400712898.32;write;4;62112;512;1
1400712898.42;write;4;62624;4;1
1400712898.52;write;4;62628;1024;1
1400712898.62;write;4;63652;4;1
1400712898.72;write;4;63656;4;1
1400712898.82;write;4;63660;1024;1
1400712898.92;write;4;64684;4;1
1400712899.02;read;4;0;0;1
1400712899.12;open;6;0;0;0;2
1400712899.23;close;6;2
1400712899.34;write;4;64688;12;1
1400712899.46;write;3;73728;1024;0
1400712899.57;write;3;74752;1024;0
1400712899.69;write;3;75776;1024;0
1400712899.81;close;4;1
1400712899.93;read;3;2548;16;0
1400712900.04;open;4;0;0;0;1
1400712900.14;write;4;64700;512;1
1400712900.24;write;4;65212;4;1
1400712900.34;write;4;65216;1024;1
1400712900.44;write;4;66240;4;1
1400712900.54;write;4;66244;4;1
1400712900.64;write;4;66248;1024;1
1400712900.74;write;4;67272;4;1
1400712900.84;read;4;0;0;1
1400712900.99;open;6;0;0;0;2
1400712901.13;close;6;2
1400712901.28;write;4;67276;12;1
1400712901.38;write;3;76800;1024;0
1400712901.48;write;3;77824;1024;0
1400712901.58;write;3;78848;1024;0
1400712901.68;close;4;1
1400712901.78;read;3;2564;16;0
1400712901.89;open;4;0;0;0;1
1400712901.99;write;4;67288;512;1
1400712902.09;write;4;67800;4;1
1400712902.2;write;4;67804;1024;1
1400712902.33;write;4;68828;4;1
1400712902.45;write;4;68832;4;1
1400712902.57;write;4;68836;1024;1
1400712902.68;write;4;69860;4;1
1400712902.8;read;4;0;0;1
1400712902.92;open;6;0;0;0;2
1400712903.03;close;6;2
1400712903.13;write;4;69864;12;1
1400712903.23;write;3;79872;1024;0
1400712903.33;write;3;80896;1024;0
1400712903.43;write;3;81920;1024;0
1400712903.58;close;4;1
1400712903.68;read;3;2580;16;0
1400712903.78;open;4;0;0;0;1
1400712903.88;write;4;69876;512;1
1400712904.0;write;4;70388;4;1
1400712904.1;write;4;70392;1024;1
1400712904.2;write;4;71416;4;1
1400712904.3;write;4;71420;4;1
1400712904.4;write;4;71424;1024;1
1400712904.5;write;4;72448;4;1
1400712904.6;read;4;0;0;1
1400712904.71;open;6;0;0;0;2
1400712904.87;close;6;2
1400712904.99;write;4;72452;12;1
1400712905.1;write;3;82944;1024;0
1400712905.21;write;3;83968;1024;0
