# MTD Statistics
# ==============
# operation;address (page index for R/W, bloc for E);time taken;energy mem;energy cpu
mtd_write;49501;411.5;7.03665e-05;0.000186409
mtd_write;49502;411.5;7.03665e-05;0.000186409
mtd_write;49503;411.5;7.03665e-05;0.000186409
mtd_write;49504;411.5;7.03665e-05;0.000186409
mtd_write;49505;411.5;7.03665e-05;0.000186409
mtd_write;49506;411.5;7.03665e-05;0.000186409
mtd_write;49507;411.5;7.03665e-05;0.000186409
mtd_write;49508;411.5;7.03665e-05;0.000186409
mtd_write;49509;411.5;7.03665e-05;0.000186409
mtd_write;49510;411.5;7.03665e-05;0.000186409
mtd_write;49511;411.5;7.03665e-05;0.000186409
mtd_write;49512;411.5;7.03665e-05;0.000186409
mtd_write;49513;411.5;7.03665e-05;0.000186409
mtd_write;49514;411.5;7.03665e-05;0.000186409
mtd_write;49515;411.5;7.03665e-05;0.000186409
mtd_write;49516;411.5;7.03665e-05;0.000186409
mtd_write;49517;411.5;7.03665e-05;0.000186409
mtd_write;49518;411.5;7.03665e-05;0.000186409
mtd_write;49519;411.5;7.03665e-05;0.000186409
mtd_write;49520;411.5;7.03665e-05;0.000186409
mtd_write;49521;411.5;7.03665e-05;0.000186409
mtd_write;49522;411.5;7.03665e-05;0.000186409
mtd_write;49523;411.5;7.03665e-05;0.000186409
mtd_write;49524;411.5;7.03665e-05;0.000186409
mtd_write;49525;411.5;7.03665e-05;0.000186409
mtd_write;49526;411.5;7.03665e-05;0.000186409
mtd_write;49527;411.5;7.03665e-05;0.000186409
mtd_write;49528;411.5;7.03665e-05;0.000186409
mtd_write;49529;411.5;7.03665e-05;0.000186409
mtd_write;49530;411.5;7.03665e-05;0.000186409
mtd_write;49531;411.5;7.03665e-05;0.000186409
mtd_write;49532;411.5;7.03665e-05;0.000186409
mtd_write;49533;411.5;7.03665e-05;0.000186409
mtd_write;49534;411.5;7.03665e-05;0.000186409
mtd_write;49535;411.5;7.03665e-05;0.000186409
mtd_write;49408;411.5;7.03665e-05;0.000186409
mtd_write;49409;411.5;7.03665e-05;0.000186409
mtd_write;49410;411.5;7.03665e-05;0.000186409
mtd_write;49411;411.5;7.03665e-05;0.000186409
mtd_write;49412;411.5;7.03665e-05;0.000186409
mtd_write;49413;411.5;7.03665e-05;0.000186409
mtd_write;49414;411.5;7.03665e-05;0.000186409
mtd_write;49415;411.5;7.03665e-05;0.000186409
mtd_write;49416;411.5;7.03665e-05;0.000186409
mtd_write;49417;411.5;7.03665e-05;0.000186409
mtd_write;49418;411.5;7.03665e-05;0.000186409
mtd_write;49419;411.5;7.03665e-05;0.000186409
mtd_write;49420;411.5;7.03665e-05;0.000186409
mtd_write;49421;411.5;7.03665e-05;0.000186409
mtd_write;49422;411.5;7.03665e-05;0.000186409
mtd_write;49423;411.5;7.03665e-05;0.000186409
