# JFFS2 Statistics
# ================
# A call to jffs2_readpage can be triggered by a vfs_read with a page cache miss, but also a 
# call to jffs2_write_begin (coming from a vfs_write) on a page wich is not up to date. 
# type ; process time ; e_mem ; e_cpu
jffs2_readpage;789;9.88421e-317;1.01778e-321
jffs2_readpage;789;1.004e-316;1.02272e-321
jffs2_readpage;789;1.00406e-316;1.02766e-321
jffs2_readpage;789;1.00408e-316;1.0326e-321
jffs2_readpage;789;9.8689e-317;1.03754e-321
jffs2_readpage;789;9.86849e-317;1.04248e-321
jffs2_readpage;789;9.86799e-317;1.04742e-321
jffs2_readpage;789;9.88427e-317;1.05236e-321
jffs2_readpage;789;9.8558e-317;1.0573e-321
jffs2_readpage;789;1.0042e-316;1.06224e-321
jffs2_readpage;789;1.00421e-316;1.06718e-321
jffs2_readpage;789;1.00425e-316;1.07212e-321
jffs2_readpage;789;1.00428e-316;1.07706e-321
jffs2_readpage;789;9.96233e-317;1.082e-321
jffs2_readpage;789;1.00418e-316;1.08694e-321
jffs2_readpage;789;1.00436e-316;1.09189e-321
jffs2_readpage;789;1.00439e-316;1.09683e-321
jffs2_readpage;789;1.00443e-316;1.10671e-321
jffs2_readpage;789;1.00446e-316;1.11165e-321
jffs2_readpage;789;9.94437e-317;1.11659e-321
jffs2_readpage;789;9.94465e-317;1.12153e-321
jffs2_readpage;789;1.0047e-316;1.12647e-321
jffs2_readpage;789;1.00474e-316;1.13141e-321
jffs2_readpage;789;1.00476e-316;1.13635e-321
jffs2_readpage;789;1.00536e-316;1.14129e-321
jffs2_readpage;972;1.00484e-316;1.15117e-321
jffs2_readpage;789;9.91584e-317;1.15611e-321
jffs2_readpage;789;9.91417e-317;1.16105e-321
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_readpage;789;9.8867e-317;1.16599e-321
jffs2_readpage;789;9.88803e-317;1.17094e-321
jffs2_readpage;789;9.9154e-317;1.17588e-321
jffs2_readpage;789;9.91511e-317;1.18082e-321
jffs2_readpage;789;9.88727e-317;1.18576e-321
jffs2_readpage;789;1.00472e-316;1.1907e-321
jffs2_readpage;789;1.00499e-316;1.19564e-321
jffs2_readpage;789;1.00501e-316;1.20058e-321
jffs2_readpage;789;1.00504e-316;1.20552e-321
jffs2_readpage;789;1.00507e-316;1.21046e-321
jffs2_readpage;789;1.00509e-316;1.2154e-321
jffs2_readpage;789;1.00518e-316;1.22034e-321
jffs2_readpage;789;1.00522e-316;1.22528e-321
jffs2_readpage;789;1.00524e-316;1.23022e-321
jffs2_readpage;789;1.00527e-316;1.23516e-321
jffs2_readpage;789;1.00531e-316;1.2401e-321
jffs2_readpage;789;1.00538e-316;1.24505e-321
jffs2_readpage;789;1.00541e-316;1.24999e-321
jffs2_readpage;789;1.00534e-316;1.25493e-321
jffs2_readpage;789;1.00547e-316;1.25987e-321
jffs2_readpage;789;1.00363e-316;1.26481e-321
jffs2_readpage;789;9.87661e-317;1.26975e-321
jffs2_readpage;789;9.87572e-317;1.27469e-321
